Energy,Metric,Counter,Runtime (ms),UNK1,UNK2,UNK3
348.63,Joules,power/energy-pkg/,7087002774,100.00,,
296.52,Joules,power/energy-pkg/,5905915348,100.00,,
327.52,Joules,power/energy-pkg/,6555596095,100.00,,
314.85,Joules,power/energy-pkg/,6313253142,100.00,,
303.82,Joules,power/energy-pkg/,6125898135,100.00,,
751.06,Joules,power/energy-pkg/,16210478962,100.00,,
779.76,Joules,power/energy-pkg/,17424332389,100.00,,
814.03,Joules,power/energy-pkg/,18196433270,100.00,,
803.23,Joules,power/energy-pkg/,17668033881,100.00,,
746.19,Joules,power/energy-pkg/,17127525872,100.00,,
344.28,Joules,power/energy-pkg/,6842711507,100.00,,
348.35,Joules,power/energy-pkg/,6894461882,100.00,,
329.32,Joules,power/energy-pkg/,6639922214,100.00,,
338.78,Joules,power/energy-pkg/,6863410938,100.00,,
352.67,Joules,power/energy-pkg/,7069226125,100.00,,
825.73,Joules,power/energy-pkg/,18815596021,100.00,,
802.62,Joules,power/energy-pkg/,17776664292,100.00,,
810.82,Joules,power/energy-pkg/,17888345084,100.00,,
774.04,Joules,power/energy-pkg/,16976733368,100.00,,
855.20,Joules,power/energy-pkg/,19171131793,100.00,,
337.27,Joules,power/energy-pkg/,6712072700,100.00,,
329.77,Joules,power/energy-pkg/,6689775723,100.00,,
351.62,Joules,power/energy-pkg/,7288370209,100.00,,
343.04,Joules,power/energy-pkg/,6895670850,100.00,,
334.18,Joules,power/energy-pkg/,6757581199,100.00,,
850.88,Joules,power/energy-pkg/,18614266968,100.00,,
838.75,Joules,power/energy-pkg/,19009802817,100.00,,
831.14,Joules,power/energy-pkg/,18251091739,100.00,,
740.63,Joules,power/energy-pkg/,16409877585,100.00,,
825.85,Joules,power/energy-pkg/,18680118630,100.00,,
324.43,Joules,power/energy-pkg/,6661659231,100.00,,
